URL,Nom,Type,Departement,Ville,Cap été,Cap hiver,Cheminée,Bois,Eau,Couchage,Rando
Details,cabane de itchaxe,Cabane ouverte,Pyrénées-Atlantique,Etsaut,3,3,,,,non,col de pau pic de burcq
Details,cabane de lacure,Cabane férmée,Pyrénées-Atlantique,Lées-Athas,2,2,Oui,Oui,Oui,deux lits superposés avec mate,pic d anie
Details,toue de carol,"Orri, Toue, abri en pierre",Ariège,Auzat,3,3,non,non,Oui,,mont ceint bassies
Details,cabane de gourziotte,Cabane ouverte,Pyrénées-Atlantique,Eaux-Bonnes,0,0,,,,,
Details,barraca dels escaldes,Cabane ouverte,Catalonia,Bellver de Cerdanya,3,3,,Oui,Oui,,
Details,cabane de ibosque,Cabane ouverte,Pyrénées-Atlantique,Borce,1,1,,,,,pic rouge lac d arlet
Details,cabane de lapassa sous refuge arlet,Cabane ouverte,Pyrénées-Atlantique,Borce,,6,,,Oui,Bas flancs en mezzanine,hrp
Details,refuge de la pineta,Cabane ouverte,Aragon,Bielsa,0,0,,,,,
Details,cabane de serre,Cabane ouverte,Ariège,Alos,4,4,,,,,cap de bouirex
Details,cabane des carmilles tartie ou aynat,Cabane ouverte,Ariège,Cazenave-Serres-et-Allens,4,4,Oui,Oui,Oui,mezzanine avec matels pour 4,mont fourcat
Details,refuge de aramasses ou cabane a giral,Cabane ouverte,Ariège,Mérens-les-Vals,?,4,,,,,
Details,refuge de la restanca,Cabane ouverte,Catalonia,Naut Aran,92,16,,,,,montardo 2 826 m besiberri n 3 014 m ribereta 2 670 m monges 2 694 m
Details,cabane de saoutelle,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Borce,,4,,,,,pic labigouer table de souperet
Details,cabane de pacheu peyrenere,Cabane ouverte,Pyrénées-Atlantique,Urdos,0,0,,,,,
Details,cabane roc de sorgeat,Cabane ouverte mais ocupée par le berger l'été,Ariège,Perles-et-Castelet,0,4,,,,,variante bourbourou campalou et espaillat
Details,cabane de torre,Cabane ouverte,Ariège,Freychenet,,,,,,,mont fourcat
Details,cabane de thezy,Cabane ouverte,Pyrénées-Atlantique,Borce,4,4,,,,,signal d espelunguere
Details,cabane de besur,Cabane férmée,Pyrénées-Atlantique,Aydius,0,0,,,,,mailh massibe
Details,cabane d anglus,Cabane ouverte,Pyrénées-Atlantique,Borce,,4,,,,,lac d estaens
Details,cabane de atsout,Cabane férmée,Pyrénées-Atlantique,Borce,0,2,,,,,hrp pic espelungere
Details,cabane de camplong,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Lées-Athas,0-2,2,,,,,mailh carnassier pas d azun
Details,cabane d aumet,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Accous,0,0,,,,,col de saoubathou
Details,cabane de bonaris,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Lescun,0,0,,,Oui,non,col de pau pics de burcq lariste marmida
Details,cabane d escouret,Cabane ouverte,Pyrénées-Atlantique,Borce,,,Oui,Oui,Oui,,lac d estaens ibon de estanes visaurin
Details,cayolar de anaye,Cabane ouverte,Pyrénées-Atlantique,Lescun,0,5,Oui,Oui,Oui,,table des trois rois
Details,refuge tomy,Cabane ouverte,Pyrénées-Orientales,Argelès-sur-Mer,2 à 3,2 à 3,,,Oui,oui mais étroit,gr10 pic de sailfort pic des 4 termes
Details,centre pastoral de peyrenere,Cabane férmée,Pyrénées-Atlantique,Urdos,0,0,,,,,
Details,abri aumet,Cabane ouverte,Pyrénées-Atlantique,Accous,0,0,,,,,col de saoubathou
Details,cabanes de licoue,Cabane ouverte,Pyrénées-Atlantique,Etsaut,0,4,,,Oui,,soum de moundaut
Details,refuge packe,Cabane ouverte,Haute-Pyrénées,Betpouey,8,8,Oui,,Oui,lits superposés,pic long lac tourrat turon du neouvielle
Details,cabane de bergout,Cabane férmée,Pyrénées-Atlantique,Accous,0,0,,,,,
Details,cabane de salistre,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Etsaut,0,2-3,,,Oui,,pic gazies
Details,cabane col de jau,Cabane ouverte,Pyrénées-Orientales,Mosset,0,0,,,,,
Details,refugio de saburcal,Cabane ouverte,Aragon,Ans,2,2,,,,,chipeta alto
Details,cabane de cap de guerren,Cabane férmée,Pyrénées-Atlantique,Etsaut,0,,,,Oui,,
Details,cabane etang alet,Cabane ouverte,Ariège,Ustou,,,,,,,
Details,refuge de ras de conques,Cabane ouverte,Catalonia,les Valls de Valira,24,0,,,,,
Details,serre de ansabe,Cabane ouverte,Aragon,Ans,2,2,,,,,pic et lac de la chourique
Details,cabanes de larry,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Urdos,0,0,,,,,col d ayous
Details,cabane caillabere,Cabane ouverte,Pyrénées-Atlantique,Borce,,2,Oui,,Oui,,pic de gabedaille
Details,cabane de lheze,Cabane ouverte mais ocupée par le berger l'été,Pyrénées-Atlantique,Cette-Eygun,0,1-2,Oui,Oui,Oui,,ronglet permayou anchet
Details,cabane de sabas,Cabane ouverte,Pyrénées-Atlantique,Cette-Eygun,4,4,Oui,Oui,,,
Details,cabane rieutort,Cabane férmée,Pyrénées-Orientales,Puyvalador,0,0,,,,,halte lors de l ascension tres recommandable du pic du ginevre au depart de la station de ski de puyvalador
Details,cabane inferieure de lacarde,"Orri, Toue, abri en pierre",Ariège,Ustou,,,,,,,
